question;a;b;c;answer;file;level;points;category;box
Czy w tej sytuacji masz obowiπzek zatrzymaÊ pojazd?;;;;T;AK_D05_06_org.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W16
Czy w tej sytuacji masz obowiπzek zatrzymaÊ pojazd?;;;;T;AK_D10_30_org.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W16
Czy w przedstawionej sytuacji masz prawo kontynuowaÊ jazdÍ?;;;;N;AK_D11_43org.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W9
Czy w przedstawionej sytuacji masz prawo - mimo podawanego sygna≥u - skrÍciÊ w prawo?;;;;N;AK_D11_45org.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W9
Jakπ odleg≥oúÊ naleøy zachowaÊ miÍdzy jadπcymi kolumnami samochodÛw ciÍøarowych?;Nie mniejszπ niø 800 metrÛw.;Nie mniejszπ niø 500 metrÛw.;Nie mniejszπ niø 200 metrÛw.;B;;1;3;C;C4
Kierujesz samochodem ciÍøarowym. KtÛry z wymienionych czynnikÛw jesteú zobowiπzany uwzglÍdniÊ, aby zachowaÊ bezpieczny odstÍp od poprzedzajπcego pojazdu?;PrÍdkoúÊ pojazdÛw.;Moc silnika.;SzerokoúÊ pojazdÛw.;A;;1;3;C;C4
Czy na jezdni oznaczonej tym znakiem wolno Ci zawrÛciÊ?;;;;N;IMG_4251orgbm.jpg;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W3
Czy w tej sytuacji powinieneú oczekiwaÊ, øe nastÍpnym sygna≥em bÍdzie úwiat≥o zielone?;;;;T;3106D15_a_org.jpg;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W5
Czy w tej sytuacji wolno Ci skrÍciÊ w prawo bez zatrzymania siÍ przed sygnalizatorem?;;;;N;0118D14MM_a_org.jpg;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W5
Czy w tej sytuacji sygna≥ úwietlny nadawany dla Twojego pasa ruchu zezwala Ci na zawracanie?;;;;N;2064D14MM_a_org.jpg;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W5
Czy w tej sytuacji nadawany sygna≥ úwietlny oznacza, øe podczas jazdy w prawo nie wystÍpuje kolizja z innymi uczestnikami ruchu?;;;;T;066D16_a_org.jpg;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W5
Czy w tej sytuacji nadawany sygna≥ úwietlny zezwala Ci na wjazd za sygnalizator?;;;;N;IMG_0325_9550d5_a_org.jpg;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W5
Czy w tej sytuacji widoczny dla Twojego pasa ruchu sygna≥ úwietlny zezwala Ci na zawracanie?;;;;T;117D16_a_org.jpg;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W5
Czy w tej sytuacji wolno Ci skrÍciÊ w prawo, jeúli nie spowodujesz tym utrudnienia ruchu?;;;;N;0084D18_a_org.jpg;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W5
Czy w tej sytuacji wolno Ci zmieniÊ zajmowany pas ruchu, gdy zamierzasz jechaÊ na wprost?;;;;T;IMG_9324_org.jpg;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
Czy na tej drodze moøesz spodziewaÊ siÍ rowerzystÛw nadjeødøajπcych z przeciwka?;;;;T;4152D15Xorg.jpg;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W3
Czy w tej sytuacji wolno Ci wjechaÊ na pas ruchu po lewej stronie?;;;;N;4170D15_a_org.jpg;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
Czy ten znak poziomy wyznacza miejsce bezwzglÍdnego zatrzymania siÍ, nawet w sytuacji, gdy z øadnej ze stron nie nadjeødøa pojazd?;;;;T;D16_01_org.wmv;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
Czy w tej sytuacji widoczna linia przerywana wyznacza Ci miejsce zatrzymania w zwiπzku ze znakiem stop?;;;;N;D16_05_org.wmv;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
Czy ta linia ciπg≥a wyznacza Ci miejsce zatrzymania pojazdu w zwiπzku ze znakiem stop?;;;;T;D16_06_org.wmv;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
Czy w tej sytuacji, przy zawracaniu, wolno Ci  przejechaÊ przez zakreskowane pole?;;;;N;MM_D14_14_org.wmv;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
Zamierzasz zawrÛciÊ na tym skrzyøowaniu. Czy zajmujesz w≥aúciwy pas ruchu?;;;;T;MM_D14_15_org.wmv;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
SkrÍcasz w lewo na skrzyøowaniu. Czy po wjechaniu na jezdniÍ poprzecznπ znaki poziome pozwalajπ Ci zajπÊ pas ruchu przy prawej krawÍdzi jezdni?;;;;T;MM_D14_17_org.wmv;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
Czy w tym miejscu wolno Ci skrÍciÊ w lewo i wjechaÊ na stacjÍ paliw?;;;;N;MM_D14_24_org.wmv;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
Czy widoczna linia z≥oøona z trÛjkπtÛw wskazuje Ci miejsce zatrzymania pojazdu w celu ustπpienia pierwszeÒstwa?;;;;T;MM_D14_29_org.wmv;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
Czy w tym miejscu moøesz skrÍciÊ w lewo, na parking?;;;;N;MM_D14_34_org.wmv;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
Zamierzasz odpoczπÊ. Czy w tym miejscu moøesz skrÍciÊ w lewo, na parking?;;;;N;MM_D14_38_org.wmv;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
Czy w tej sytuacji wolno Ci skrÍciÊ w lewo z zajmowanego przez Ciebie pasa ruchu?;;;;N;MM_D14_42_org.wmv;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
Czy w tym miejscu wolno Ci wjechaÊ na pas ruchu przeznaczony dla pojazdÛw jadπcych w przeciwnym kierunku?;;;;N;0445D14MM_aorgbm.jpg;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
Czy w tym miejscu, bezpoúrednio przed przejúciem dla pieszych, wolno Ci zmieniÊ pas ruchu?;;;;N;D10MM_3org.wmv;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
Czy widoczny znak poziomy w kszta≥cie trÛjkπta potwierdza ostrzeøenie o skrzyøowaniu z drogπ z pierwszeÒstwem?;;;;T;D10MM_10org.wmv;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
Czy w tej sytuacji wolno Ci wjechaÊ na sπsiedni prawy pas ruchu?;;;;T;D10MM_22org.wmv;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
Czy widoczna poprzeczna linia przerywana wyznacza miejsce warunkowego zatrzymania pojazdu?;;;;T;D10MM_7org.wmv;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
Czy w przedstawionej sytuacji wolno Ci zawrÛciÊ, wykorzystujπc widocznπ po lewej stronie zatokÍ?;;;;T;013org.jpg;0;2;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W11
Czy w tej sytuacji masz prawo wyprzedzaÊ samochÛd ciÍøarowy?;;;;T;048D15_a_org.jpg;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W12
Planujesz jechaÊ na wprost, a kierujπcy pojazdem nadjeødøajπcym z przeciwka ma zamiar skrÍciÊ w lewo. Czy masz przed nim pierwszeÒstwo?;;;;N;KW_D22_407_org.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W7
Planujesz skrÍciÊ w lewo, a kierujπcy pojazdem z przeciwka ma zamiar jechaÊ na wprost. Czy masz przed nim pierwszeÒstwo?;;;;N;KW_D22_417_org.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W7
Zamierzasz skrÍciÊ w lewo. Czy masz obowiπzek ustπpiÊ pierwszeÒstwa wszystkim pojazdom znajdujπcym siÍ na skrzyøowaniu?;;;;T;KW_D22_418_org.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W7
Zamierzasz jechaÊ na wprost, a motocyklista chce skrÍciÊ w lewo. Czy masz obowiπzek ustπpiÊ mu pierwszeÒstwa?;;;;T;KW_D22_419_org.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W7
Zamierzasz jechaÊ na wprost, a kierujπcy pojazdem, jadπcym z naprzeciwka, chce skrÍciÊ w lewo. Czy masz przed nim pierwszeÒstwo?;;;;N;KW_D22_419_org.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W7
Zosta≥eú w≥aúnie wyprzedzony przez pojazd widoczny przed Tobπ. Czy bezpoúrednio po wyprzedzeniu wolno Ci zwiÍkszyÊ prÍdkoúÊ?;;;;N;D26_026org.jpg;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W12
Czy w tej sytuacji, wykonujπc manewr omijania, masz obowiπzek zatrzymaÊ siÍ w razie potrzeby?;;;;T;D24_AK110org.wmv;0;2;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W13
Czy w tej sytuacji, podczas omijania, masz obowiπzek zachowaÊ szczegÛlnπ ostroønoúÊ?;;;;T;D24_AK120org.wmv;0;2;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W13
Czy widoczna linia wskazuje miejsce obowiπzkowego zatrzymania siÍ przed wjazdem na skrzyøowanie?;;;;T;D16_01_org.wmv;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
Czy widoczna linia wskazuje miejsce zatrzymania, ktÛre zapewnia Ci najlepszπ widocznoúÊ na skrzyøowaniu?;;;;T;D16_01_org.wmv;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
Czy masz obowiπzek zatrzymaÊ siÍ w wyznaczonym liniπ miejscu, nawet wtedy, gdy upewni≥eú siÍ, øe drogπ z pierwszeÒstwem przejazdu nie poruszajπ siÍ inne pojazdy?;;;;T;D16_01_org.wmv;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
Czy w miejscu wyznaczonym przez widocznπ liniÍ przystankowπ wolno zatrzymywaÊ siÍ pojazdom przewoøπcym dzieci do szkÛ≥ i przedszkoli?;;;;T;W4(23,54,80)org.wmv;0;1;D,D1;W4
Czy w tej sytuacji wolno Ci wjechaÊ na pas ruchu przy prawej krawÍdzi jezdni?;;;;T;MM_D14_09_org.wmv;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
Czy w przedstawionej sytuacji jesteú ostrzegany o zbliøaniu siÍ do jednego niebezpiecznego zakrÍtu w prawo?;;;;T;IMG_0345d8org.jpg;0;2;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W1
Czy w przedstawionej sytuacji jesteú ostrzegany o kilku niebezpiecznych zakrÍtach w lewo?;;;;N;1814D15org.jpg;0;2;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W1
Czy w przedstawionej sytuacji jesteú ostrzegany o dwÛch niebezpiecznych zakrÍtach?;;;;N;A-3 zT-4org.jpg;0;2;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W1
Czy w przedstawionej sytuacji jesteú ostrzegany o dwÛch niebezpiecznych zakrÍtach, z ktÛrych pierwszy jest w lewo?;;;;T;A-4 (5)org.jpg;0;2;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W1
Czy w tej sytuacji jesteú ostrzegany o zbliøaniu siÍ do skrzyøowania, na ktÛrym pierwszeÒstwo przejazdu nie jest okreúlone przy pomocy znakÛw drogowych?;;;;T;A-5 (3)org.jpg;0;2;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W1
Czy w przedstawionej sytuacji jesteú ostrzegany o zbliøaniu siÍ do skrzyøowania z drogπ podporzπdkowanπ?;;;;T;IMG_1181d8org.jpg;0;2;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W1
